date,nav
2022-01-02,512.1124
2022-01-03,503.1674
2022-01-04,531.285
2022-01-05,531.285
2022-01-06,474.1732
2022-01-07,452.584
2022-01-08,433.0211
2022-01-09,424.3603
2022-01-10,424.3603
2022-01-11,448.4277
2022-01-12,482.4201
2022-01-13,482.4201
2022-01-14,482.4201
2022-01-15,482.4201
2022-01-16,482.4201
2022-01-17,482.4201
2022-01-18,482.4201
2022-01-19,482.4201
2022-01-20,482.4201
2022-01-21,482.4201
2022-01-22,482.4201
2022-01-23,482.4201
2022-01-24,482.4201
2022-01-25,482.4201
2022-01-26,482.4201
2022-01-27,482.4201
2022-01-28,482.4201
2022-01-29,482.4201
2022-01-30,482.4201
2022-01-31,482.4201
2022-02-01,482.4201
2022-02-02,515.5386
2022-02-03,504.7495
2022-02-04,504.7495
2022-02-05,524.0515
2022-02-06,473.1602
2022-02-07,473.1602
2022-02-08,423.7137
2022-02-09,418.068
2022-02-10,418.068
2022-02-11,453.5279
2022-02-12,480.9949
2022-02-13,480.9949
2022-02-14,480.9949
2022-02-15,480.9949
2022-02-16,480.9949
2022-02-17,480.9949
2022-02-18,480.9949
2022-02-19,480.9949
2022-02-20,480.9949
2022-02-21,480.9949
2022-02-22,480.9949
2022-02-23,480.9949
2022-02-24,480.9949
2022-02-25,480.9949
2022-02-26,480.9949
2022-02-27,480.9949
2022-02-28,480.9949
2022-03-01,520.4608
2022-03-02,512.0153
2022-03-03,505.6316
2022-03-04,505.6316
2022-03-05,515.5881
2022-03-06,470.7754
2022-03-07,470.7754
2022-03-08,423.3646
2022-03-09,423.3646
2022-03-10,430.3701
2022-03-11,455.1164
2022-03-12,455.1164
2022-03-13,455.1164
2022-03-14,455.1164
2022-03-15,455.1164
2022-03-16,455.1164
2022-03-17,455.1164
2022-03-18,455.1164
2022-03-19,455.1164
2022-03-20,455.1164
2022-03-21,455.1164
2022-03-22,455.1164
2022-03-23,455.1164
2022-03-24,455.1164
2022-03-25,455.1164
2022-03-26,455.1164
2022-03-27,455.1164
2022-03-28,455.1164
2022-03-29,455.1164
2022-03-30,455.1164
2022-03-31,455.1164
2022-04-01,515.0971
2022-04-02,513.6729
2022-04-03,504.6233
2022-04-04,534.7762
2022-04-05,522.4674
2022-04-06,522.4674
2022-04-07,443.3196
2022-04-08,427.5619
2022-04-09,427.5619
2022-04-10,428.3154
2022-04-11,452.9791
2022-04-12,452.9791
2022-04-13,452.9791
2022-04-14,452.9791
2022-04-15,452.9791
2022-04-16,452.9791
2022-04-17,452.9791
2022-04-18,452.9791
2022-04-19,452.9791
2022-04-20,452.9791
2022-04-21,452.9791
2022-04-22,452.9791
2022-04-23,452.9791
2022-04-24,452.9791
2022-04-25,452.9791
2022-04-26,452.9791
2022-04-27,452.9791
2022-04-28,452.9791
2022-04-29,452.9791
2022-04-30,452.9791
2022-05-01,521.7239
2022-05-02,521.7239
2022-05-03,521.7239
2022-05-04,531.2213
2022-05-05,517.1078
2022-05-06,517.1078
2022-05-07,449.0289
2022-05-08,424.424
2022-05-09,415.1206
2022-05-10,432.9656
2022-05-11,432.9656
2022-05-12,483.5309
2022-05-13,483.5309
2022-05-14,483.5309
2022-05-15,483.5309
2022-05-16,483.5309
2022-05-17,483.5309
2022-05-18,483.5309
2022-05-19,483.5309
2022-05-20,483.5309
2022-05-21,483.5309
2022-05-22,483.5309
2022-05-23,483.5309
2022-05-24,483.5309
2022-05-25,483.5309
2022-05-26,483.5309
2022-05-27,483.5309
2022-05-28,483.5309
2022-05-29,483.5309
2022-05-30,483.5309
2022-05-31,483.5309
2022-06-01,515.788
2022-06-02,515.788
2022-06-03,515.788
2022-06-04,532.3217
2022-06-05,514.6837
2022-06-06,476.2119
2022-06-07,451.9322
2022-06-08,451.9322
2022-06-09,417.805
2022-06-10,426.8679
