investor_id,sip_count,avg_gap,at_risk
INV000001,1,,False
INV000002,0,,False
INV000003,1,,False
INV000004,3,60.0,False
INV000005,2,274.0,False
INV000006,4,214.33333333333334,False
INV000007,2,55.0,False
INV000008,2,539.0,False
INV000009,1,,False
INV000010,5,172.25,False
INV000011,4,82.66666666666667,False
INV000012,3,151.5,False
INV000013,1,,False
INV000014,3,332.0,False
INV000015,1,,False
INV000016,0,,False
INV000017,0,,False
INV000018,1,,False
INV000019,1,,False
INV000020,0,,False
INV000021,2,183.0,False
INV000022,0,,False
INV000023,6,73.2,True
INV000024,2,333.0,False
INV000025,1,,False
INV000026,1,,False
INV000027,1,,False
INV000028,1,,False
INV000029,4,159.66666666666666,False
INV000030,2,212.0,False
INV000031,0,,False
INV000032,3,197.5,False
INV000033,5,134.75,False
INV000034,1,,False
INV000035,2,144.0,False
INV000036,1,,False
INV000037,0,,False
INV000038,2,153.0,False
INV000039,2,209.0,False
INV000040,2,30.0,False
INV000041,0,,False
INV000042,1,,False
INV000043,0,,False
INV000044,1,,False
INV000045,4,120.0,False
INV000046,1,,False
INV000047,1,,False
INV000048,4,139.33333333333334,False
INV000049,0,,False
INV000050,2,55.0,False
INV000051,0,,False
INV000052,1,,False
INV000053,1,,False
INV000054,1,,False
INV000055,4,110.66666666666667,False
INV000056,2,85.0,False
INV000057,1,,False
INV000058,4,34.0,False
INV000059,1,,False
INV000060,0,,False
INV000061,1,,False
INV000062,3,229.5,False
INV000063,0,,False
INV000065,2,425.0,False
INV000066,1,,False
INV000067,0,,False
INV000069,5,67.25,False
INV000070,1,,False
INV000071,1,,False
INV000072,1,,False
INV000073,3,319.0,False
INV000074,3,180.5,False
INV000075,3,319.5,False
INV000076,3,245.0,False
INV000078,0,,False
INV000079,1,,False
INV000080,0,,False
INV000081,3,214.5,False
INV000082,4,193.66666666666666,False
INV000083,1,,False
INV000084,3,35.5,False
INV000085,3,257.5,False
INV000086,6,49.2,True
INV000087,3,164.0,False
INV000088,1,,False
INV000089,2,178.0,False
INV000090,1,,False
INV000091,5,59.75,False
INV000092,2,31.0,False
INV000093,2,62.0,False
INV000094,3,46.5,False
INV000095,2,23.0,False
INV000096,0,,False
INV000097,2,122.0,False
INV000098,3,330.0,False
INV000099,0,,False
INV000100,3,260.0,False
INV000101,4,192.0,False
INV000102,5,90.75,False
INV000103,3,103.5,False
INV000104,4,191.0,False
INV000105,6,115.6,True
INV000106,1,,False
INV000107,1,,False
INV000108,1,,False
INV000109,6,83.6,True
INV000110,0,,False
INV000111,0,,False
INV000112,1,,False
INV000113,2,31.0,False
INV000114,0,,False
INV000115,1,,False
INV000116,2,154.0,False
INV000117,2,56.0,False
INV000118,1,,False
INV000119,1,,False
INV000120,1,,False
INV000121,0,,False
INV000122,0,,False
INV000123,1,,False
INV000124,0,,False
INV000125,1,,False
INV000126,0,,False
INV000127,1,,False
INV000128,1,,False
INV000129,2,157.0,False
INV000130,1,,False
INV000131,5,121.0,False
INV000132,3,60.0,False
INV000133,3,104.0,False
INV000134,1,,False
INV000135,0,,False
INV000136,1,,False
INV000137,0,,False
INV000138,1,,False
INV000139,0,,False
INV000140,1,,False
INV000141,0,,False
INV000143,2,118.0,False
INV000144,2,334.0,False
INV000145,1,,False
INV000146,2,334.0,False
INV000147,2,118.0,False
INV000148,6,61.4,True
INV000150,2,389.0,False
INV000151,1,,False
INV000152,0,,False
INV000153,0,,False
INV000154,1,,False
INV000155,1,,False
INV000156,2,157.0,False
INV000158,3,106.5,False
INV000159,0,,False
INV000160,2,153.0,False
INV000161,2,426.0,False
INV000162,1,,False
INV000163,5,135.0,False
INV000164,2,120.0,False
INV000165,1,,False
INV000166,3,213.0,False
INV000167,4,122.0,False
INV000168,0,,False
INV000169,2,417.0,False
INV000170,0,,False
INV000171,1,,False
INV000172,3,89.5,False
INV000173,2,175.0,False
INV000174,1,,False
INV000175,3,45.0,False
INV000176,1,,False
INV000177,1,,False
INV000178,1,,False
INV000179,1,,False
INV000180,4,172.0,False
INV000181,1,,False
INV000182,2,300.0,False
INV000183,2,274.0,False
INV000184,1,,False
INV000185,1,,False
