date,nav,scheme_code,scheme_name,fund_house,scheme_category
2013-01-01,13.209,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-02,13.332,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-03,13.354,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-04,13.403,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-07,13.388,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-08,13.357,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-09,13.334,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-10,13.313,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-11,13.315,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-14,13.489,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-15,13.552,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-16,13.369,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-17,13.442,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-18,13.519,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-21,13.545,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-22,13.416,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-23,13.381,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-24,13.164,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-25,13.329,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-28,13.314,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-29,13.218,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-30,13.201,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-01-31,13.193,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-01,13.085,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-04,12.993,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-05,12.875,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-06,12.844,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-07,12.769,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-08,11.175,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-11,11.165,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-12,11.195,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-13,11.177,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-14,11.093,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
2013-02-15,11.088,119061,HDFC Hybrid Equity Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund
